,occupation,effectif
0,Mathematics,96
1,Astronomy,84
2,Mathematician,63
3,Astronomer,32
4,Physics,20
5,Physicist,10
6,Astrologer,9
7,Medicine,7
8,Astrology,7
9,Natural philosophy,6
10,Physician,6
11,Geometry,5
12,Theology,5
13,Philosopher,5
14,Cartography,5
15,Jesuit,4
16,Engineering,4
17,Natural history,4
18,Mechanics,4
19,Geography,3
20,Historian,3
21,Navigation,3
22,Botanist,3
23,Biology,3
24,Alchemy,3
25,Jurisprudence,2
26,Optics,2
27,Geology,2
28,Philosophy,2
29,Music,2
30,Hydraulics,2
31,Law,2
32,Surveying,2
33,Scientist,2
34,Author,2
35,Architecture,2
36,Professor,2
37,Cartographer,2
38,Translator,1
39,Teacher,1
40,Mysticism,1
41,Theologian,1
42,Music theorist,1
43,Translation,1
44,Politics,1
45,Naturalist,1
46,Moral philosophy,1
47,Monk,1
48,Missionary,1
49,Trigonometry,1
50,Typography,1
51,Watchmaker,1
52,Mining engineer,1
53,Writer,1
54,Military Engineering,1
55,Mughal Empire,1
56,Soldier,1
57,Nautical science,1
58,Politician,1
59,Political economy,1
60,Poet,1
61,Physiologist,1
62,Priest,1
63,Meteorologist,1
64,Private collection,1
65,Regent,1
66,Religion,1
67,Patristics,1
68,Parliament of Ireland,1
69,Painting,1
70,Renaissance Humanism,1
71,Renaissance humanist,1
72,Ornithology,1
73,Riobamba,1
74,Officer of arms,1
75,Occult,1
76,Metereology,1
77,Alchemist,1
78,Metaphysic,1
79,Economics,1
80,Dialectologist,1
81,Deputy (legislator),1
82,Demography,1
83,Cosmographer,1
84,Conics,1
85,Chronology,1
86,Chronobiology,1
87,Choreographer,1
88,Chemistry,1
89,Chemist,1
90,Canon law of the Catholic Church,1
91,Cadastre,1
92,Cadastral,1
93,Brewing,1
94,Botany,1
95,Artist,1
96,Architectural theory,1
97,Architect,1
98,Archdeacon,1
99,Apothecary,1
100,Antiquary,1
101,Antiquarian,1
102,Anatomy,1
103,Diplomat,1
104,Educator,1
105,Metallurgy,1
106,Electricity,1
107,Medical practitioner,1
108,Mathematical analysis,1
109,Maidservant,1
110,Magnetism,1
111,Linguist,1
112,Landlord,1
113,Jurist,1
114,Ichthyology,1
115,Humanist,1
116,Humanism,1
117,Hot air ballooning,1
118,Horologist,1
119,History of mathematics,1
120,Hermeticism,1
121,Herbalism,1
122,Graphics,1
123,Geophysics,1
124,Geographer,1
125,Franciscan priest,1
126,Farmer,1
127,Explorer,1
128,Experimental physics,1
129,Engineer,1
130,Zoologist,1
