,metier,pourcentage
0,usine_batiment,36.134453781512605
1,education,18.907563025210084
2,domestique,12.184873949579831
3,artisanat_vente,8.403361344537815
4,service_publique,5.88235294117647
5,impression_journalisme,4.621848739495799
6,employe_bureau,4.201680672268908
7,santé_social,3.361344537815126
8,restauration_hotellerie,2.941176470588235
9,droit_finance,1.2605042016806722
10,agriculture,0.8403361344537815
11,etude_formation,0.42016806722689076
12,autres,0.42016806722689076
13,artistique,0.42016806722689076
